,scode,School Dist Name,Test Component,State Avg Score,Dist Avg Score,Test Score Bracket
0,601,Appling County,Combined Test Score,1052,1020.0,Average
1,602,Atkinson County,Combined Test Score,1052,994.0,Average
2,603,Bacon County,Combined Test Score,1052,972.0,Below Average
3,604,Baker County,Combined Test Score,1052,900.0,Below Average
4,605,Baldwin County,Combined Test Score,1052,944.0,Below Average
5,606,Banks County,Combined Test Score,1052,1021.0,Average
6,607,Barrow County,Combined Test Score,1052,1036.0,Average
7,607,Barrow County,Combined Test Score,1052,1036.0,Average
8,608,Bartow County,Combined Test Score,1052,1043.0,Average
9,608,Bartow County,Combined Test Score,1052,1043.0,Average
10,608,Bartow County,Combined Test Score,1052,1043.0,Average
11,609,Ben Hill County,Combined Test Score,1052,960.0,Below Average
12,610,Berrien County,Combined Test Score,1052,1016.0,Average
13,610,Berrien County,Combined Test Score,1052,1016.0,Average
14,611,Bibb County,Combined Test Score,1052,913.0,Below Average
15,611,Bibb County,Combined Test Score,1052,913.0,Below Average
16,611,Bibb County,Combined Test Score,1052,913.0,Below Average
17,611,Bibb County,Combined Test Score,1052,913.0,Below Average
18,611,Bibb County,Combined Test Score,1052,913.0,Below Average
19,611,Bibb County,Combined Test Score,1052,913.0,Below Average
20,612,Bleckley County,Combined Test Score,1052,1109.0,Average
21,613,Brantley County,Combined Test Score,1052,1025.0,Average
22,614,Brooks County,Combined Test Score,1052,979.0,Below Average
23,615,Bryan County,Combined Test Score,1052,1084.0,Average
24,615,Bryan County,Combined Test Score,1052,1084.0,Average
25,616,Bulloch County,Combined Test Score,1052,1047.0,Average
26,616,Bulloch County,Combined Test Score,1052,1047.0,Average
27,616,Bulloch County,Combined Test Score,1052,1047.0,Average
28,617,Burke County,Combined Test Score,1052,973.0,Below Average
29,618,Butts County,Combined Test Score,1052,991.0,Average
30,619,Calhoun County,Combined Test Score,1052,907.0,Below Average
31,620,Camden County,Combined Test Score,1052,1087.0,Average
32,621,Candler County,Combined Test Score,1052,1033.0,Average
33,622,Carroll County,Combined Test Score,1052,1021.0,Average
34,622,Carroll County,Combined Test Score,1052,1021.0,Average
35,622,Carroll County,Combined Test Score,1052,1021.0,Average
36,622,Carroll County,Combined Test Score,1052,1021.0,Average
37,622,Carroll County,Combined Test Score,1052,1021.0,Average
38,623,Catoosa County,Combined Test Score,1052,1156.0,Above Average
39,623,Catoosa County,Combined Test Score,1052,1156.0,Above Average
40,623,Catoosa County,Combined Test Score,1052,1156.0,Above Average
41,624,Charlton County,Combined Test Score,1052,955.0,Below Average
42,625,Savannah-Chatham County,Combined Test Score,1052,979.0,Below Average
43,625,Savannah-Chatham County,Combined Test Score,1052,979.0,Below Average
44,625,Savannah-Chatham County,Combined Test Score,1052,979.0,Below Average
45,625,Savannah-Chatham County,Combined Test Score,1052,979.0,Below Average
46,625,Savannah-Chatham County,Combined Test Score,1052,979.0,Below Average
47,625,Savannah-Chatham County,Combined Test Score,1052,979.0,Below Average
48,625,Savannah-Chatham County,Combined Test Score,1052,979.0,Below Average
49,625,Savannah-Chatham County,Combined Test Score,1052,979.0,Below Average
50,625,Savannah-Chatham County,Combined Test Score,1052,979.0,Below Average
51,625,Savannah-Chatham County,Combined Test Score,1052,979.0,Below Average
52,625,Savannah-Chatham County,Combined Test Score,1052,979.0,Below Average
53,626,Chattahoochee County,Combined Test Score,1052,930.0,Below Average
54,627,Chattooga County,Combined Test Score,1052,1009.0,Average
55,628,Cherokee County,Combined Test Score,1052,1121.0,Above Average
56,628,Cherokee County,Combined Test Score,1052,1121.0,Above Average
57,628,Cherokee County,Combined Test Score,1052,1121.0,Above Average
58,628,Cherokee County,Combined Test Score,1052,1121.0,Above Average
59,628,Cherokee County,Combined Test Score,1052,1121.0,Above Average
60,628,Cherokee County,Combined Test Score,1052,1121.0,Above Average
61,628,Cherokee County,Combined Test Score,1052,1121.0,Above Average
62,628,Cherokee County,Combined Test Score,1052,1121.0,Above Average
63,629,Clarke County,Combined Test Score,1052,980.0,Below Average
64,629,Clarke County,Combined Test Score,1052,980.0,Below Average
65,629,Clarke County,Combined Test Score,1052,980.0,Below Average
66,631,Clayton County,Combined Test Score,1052,950.0,Below Average
67,631,Clayton County,Combined Test Score,1052,950.0,Below Average
68,631,Clayton County,Combined Test Score,1052,950.0,Below Average
69,631,Clayton County,Combined Test Score,1052,950.0,Below Average
70,631,Clayton County,Combined Test Score,1052,950.0,Below Average
