"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2017-18","614","Brooks County","0110","Brooks County High School","All Students","Reading Test  Score - New",2136539,65796,34,34,270,253,253
"2017-18","614","Brooks County","0110","Brooks County High School","All Students","WritLang Test  Score - New",2136539,65799,34,34,266,250,250
"2017-18","615","Bryan County","0182","Richmond Hill High School","All Students","Combined Test Score",2136539,65795,476,430,1052,1084,1097
"2017-18","615","Bryan County","0182","Richmond Hill High School","All Students","Essay Analysis Score - New",1449142,28569,214,190,4,4,4
"2017-18","615","Bryan County","0182","Richmond Hill High School","All Students","Essay Reading Score - New",1449142,28569,214,190,5,5,5
"2017-18","615","Bryan County","0182","Richmond Hill High School","All Students","Essay Total",1449142,28569,214,190,13,14,14
"2017-18","615","Bryan County","0182","Richmond Hill High School","All Students","Essay Writing Score - New",1449142,28569,214,190,5,5,5
"2017-18","615","Bryan County","0182","Richmond Hill High School","All Students","Evidence Based Reading and Writing - New",1449142,65791,476,430,536,555,561
"2017-18","615","Bryan County","0182","Richmond Hill High School","All Students","Math Section Score - New",2136539,65790,476,430,516,529,536
"2017-18","615","Bryan County","0182","Richmond Hill High School","All Students","Reading Test  Score - New",2136539,65796,476,430,270,281,284
"2017-18","615","Bryan County","0182","Richmond Hill High School","All Students","WritLang Test  Score - New",2136539,65799,476,430,266,274,277
"2017-18","615","Bryan County","0502","Bryan County High School","All Students","Combined Test Score",2136539,65795,476,46,1052,1084,967
"2017-18","615","Bryan County","0502","Bryan County High School","All Students","Essay Analysis Score - New",1449142,28569,214,24,4,4,3
"2017-18","615","Bryan County","0502","Bryan County High School","All Students","Essay Reading Score - New",1449142,28569,214,24,5,5,5
"2017-18","615","Bryan County","0502","Bryan County High School","All Students","Essay Total",1449142,28569,214,24,13,14,13
"2017-18","615","Bryan County","0502","Bryan County High School","All Students","Essay Writing Score - New",1449142,28569,214,24,5,5,5
"2017-18","615","Bryan County","0502","Bryan County High School","All Students","Evidence Based Reading and Writing - New",1449142,65791,476,46,536,555,502
"2017-18","615","Bryan County","0502","Bryan County High School","All Students","Math Section Score - New",2136539,65790,476,46,516,529,465
"2017-18","615","Bryan County","0502","Bryan County High School","All Students","Reading Test  Score - New",2136539,65796,476,46,270,281,254
"2017-18","615","Bryan County","0502","Bryan County High School","All Students","WritLang Test  Score - New",2136539,65799,476,46,266,274,249
"2017-18","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Combined Test Score",2136539,65795,235,76,1052,1047,1099
"2017-18","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Essay Analysis Score - New",1449142,28569,78,34,4,3,3
"2017-18","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Essay Reading Score - New",1449142,28569,78,34,5,4,4
"2017-18","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Essay Total",1449142,28569,78,34,13,13,13
"2017-18","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Essay Writing Score - New",1449142,28569,78,34,5,5,5
"2017-18","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Evidence Based Reading and Writing - New",1449142,65791,235,76,536,534,563
