"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","NATIONAL_AVG_SCORE_VAL","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2017-18","615","Bryan County","0502","Bryan County High School","All Students","Composite",1914817,45081,156,17,20.8,21,21.6,19.6
"2017-18","615","Bryan County","0502","Bryan County High School","All Students","English",1914817,45077,156,17,20.2,20.4,21,19.6
"2017-18","615","Bryan County","0502","Bryan County High School","All Students","Mathematics",1914817,45080,156,17,20.5,20.4,20.9,18.1
"2017-18","615","Bryan County","0502","Bryan County High School","All Students","Reading",1914817,45076,156,17,21.3,21.7,22.2,21.4
"2017-18","615","Bryan County","0502","Bryan County High School","All Students","Science",1914817,45077,156,17,20.7,21,21.7,19.4
"2017-18","615","Bryan County","0502","Bryan County High School","All Students","Writing Subscore",903603,14029,44,6,6.5,6.9,6.8,
"2017-18","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Composite",1914817,45081,222,52,20.8,21,20.6,21.5
"2017-18","616","Bulloch County","0203","Southeast Bulloch High School","All Students","English",1914817,45077,222,52,20.2,20.4,19.8,20.8
"2017-18","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Mathematics",1914817,45080,222,52,20.5,20.4,19.9,20.9
"2017-18","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Reading",1914817,45076,222,52,21.3,21.7,21.3,22.2
"2017-18","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Science",1914817,45077,222,52,20.7,21,20.7,21.8
"2017-18","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Writing Subscore",903603,14029,62,10,6.5,6.9,6.1,5.9
"2017-18","616","Bulloch County","2054","Statesboro High School","All Students","Composite",1914817,45081,222,156,20.8,21,20.6,20.4
"2017-18","616","Bulloch County","2054","Statesboro High School","All Students","English",1914817,45077,222,156,20.2,20.4,19.8,19.7
"2017-18","616","Bulloch County","2054","Statesboro High School","All Students","Mathematics",1914817,45080,222,156,20.5,20.4,19.9,19.8
"2017-18","616","Bulloch County","2054","Statesboro High School","All Students","Reading",1914817,45076,222,156,21.3,21.7,21.3,21.1
"2017-18","616","Bulloch County","2054","Statesboro High School","All Students","Science",1914817,45077,222,156,20.7,21,20.7,20.6
"2017-18","616","Bulloch County","2054","Statesboro High School","All Students","Writing Subscore",903603,14029,62,44,6.5,6.9,6.1,6.3
"2017-18","616","Bulloch County","4052","Portal Middle/High School","All Students","Composite",1914817,45081,222,14,20.8,21,20.6,18.3
"2017-18","616","Bulloch County","4052","Portal Middle/High School","All Students","English",1914817,45077,222,14,20.2,20.4,19.8,16.9
"2017-18","616","Bulloch County","4052","Portal Middle/High School","All Students","Mathematics",1914817,45080,222,14,20.5,20.4,19.9,17.9
"2017-18","616","Bulloch County","4052","Portal Middle/High School","All Students","Reading",1914817,45076,222,14,21.3,21.7,21.3,20.4
"2017-18","616","Bulloch County","4052","Portal Middle/High School","All Students","Science",1914817,45077,222,14,20.7,21,20.7,17.6
"2017-18","616","Bulloch County","4052","Portal Middle/High School","All Students","Writing Subscore",903603,14029,62,8,6.5,6.9,6.1,
"2017-18","617","Burke County","0288","Burke County High School","All Students","Composite",1914817,45081,61,61,20.8,21,17.4,17.4
"2017-18","617","Burke County","0288","Burke County High School","All Students","English",1914817,45077,61,61,20.2,20.4,16.4,16.4
"2017-18","617","Burke County","0288","Burke County High School","All Students","Mathematics",1914817,45080,61,61,20.5,20.4,17.7,17.7
"2017-18","617","Burke County","0288","Burke County High School","All Students","Reading",1914817,45076,61,61,21.3,21.7,17.3,17.3
"2017-18","617","Burke County","0288","Burke County High School","All Students","Science",1914817,45077,61,61,20.7,21,17.7,17.7
"2017-18","617","Burke County","0288","Burke County High School","All Students","Writing Subscore",903603,14029,15,15,6.5,6.9,6.2,6.2
"2017-18","618","Butts County","0190","Jackson High School","All Students","Composite",1914817,45081,83,83,20.8,21,17.4,17.4
"2017-18","618","Butts County","0190","Jackson High School","All Students","English",1914817,45077,83,83,20.2,20.4,16.2,16.2
"2017-18","618","Butts County","0190","Jackson High School","All Students","Mathematics",1914817,45080,83,83,20.5,20.4,17.3,17.3
"2017-18","618","Butts County","0190","Jackson High School","All Students","Reading",1914817,45076,83,83,21.3,21.7,17.8,17.8
"2017-18","618","Butts County","0190","Jackson High School","All Students","Science",1914817,45077,83,83,20.7,21,18.1,18.1
"2017-18","618","Butts County","0190","Jackson High School","All Students","Writing Subscore",903603,14029,31,31,6.5,6.9,6,6
"2017-18","619","Calhoun County","0113","Calhoun County High School","All Students","Composite",1914817,45081,9,9,20.8,21,,
"2017-18","619","Calhoun County","0113","Calhoun County High School","All Students","English",1914817,45077,9,9,20.2,20.4,,
"2017-18","619","Calhoun County","0113","Calhoun County High School","All Students","Mathematics",1914817,45080,9,9,20.5,20.4,,
"2017-18","619","Calhoun County","0113","Calhoun County High School","All Students","Reading",1914817,45076,9,9,21.3,21.7,,
"2017-18","619","Calhoun County","0113","Calhoun County High School","All Students","Science",1914817,45077,9,9,20.7,21,,
"2017-18","619","Calhoun County","0113","Calhoun County High School","All Students","Writing Subscore",903603,14029,3,3,6.5,6.9,,
"2017-18","620","Camden County","0295","Camden County High School","All Students","Composite",1914817,45081,218,218,20.8,21,20.8,20.8
"2017-18","620","Camden County","0295","Camden County High School","All Students","English",1914817,45077,218,218,20.2,20.4,20.1,20.1
"2017-18","620","Camden County","0295","Camden County High School","All Students","Mathematics",1914817,45080,218,218,20.5,20.4,20.1,20.1
"2017-18","620","Camden County","0295","Camden County High School","All Students","Reading",1914817,45076,218,218,21.3,21.7,21.7,21.7
"2017-18","620","Camden County","0295","Camden County High School","All Students","Science",1914817,45077,218,218,20.7,21,20.8,20.8
"2017-18","620","Camden County","0295","Camden County High School","All Students","Writing Subscore",903603,14029,51,51,6.5,6.9,6.3,6.3
"2017-18","621","Candler County","0101","Metter High School","All Students","Composite",1914817,45081,30,30,20.8,21,20.6,20.6
"2017-18","621","Candler County","0101","Metter High School","All Students","English",1914817,45077,30,30,20.2,20.4,19.9,19.9
"2017-18","621","Candler County","0101","Metter High School","All Students","Mathematics",1914817,45080,30,30,20.5,20.4,19.7,19.7
"2017-18","621","Candler County","0101","Metter High School","All Students","Reading",1914817,45076,30,30,21.3,21.7,21.7,21.7
"2017-18","621","Candler County","0101","Metter High School","All Students","Science",1914817,45077,30,30,20.7,21,21,21
"2017-18","621","Candler County","0101","Metter High School","All Students","Writing Subscore",903603,14029,8,8,6.5,6.9,,
"2017-18","622","Carroll County","0189","Temple High School","All Students","Composite",1914817,45081,300,47,20.8,21,19.6,18.6
"2017-18","622","Carroll County","0189","Temple High School","All Students","English",1914817,45077,300,47,20.2,20.4,19.1,17.8
"2017-18","622","Carroll County","0189","Temple High School","All Students","Mathematics",1914817,45080,300,47,20.5,20.4,18.8,17.8
"2017-18","622","Carroll County","0189","Temple High School","All Students","Reading",1914817,45076,300,47,21.3,21.7,20.3,19.1
"2017-18","622","Carroll County","0189","Temple High School","All Students","Science",1914817,45077,300,47,20.7,21,19.8,19.1
"2017-18","622","Carroll County","0189","Temple High School","All Students","Writing Subscore",903603,14029,80,12,6.5,6.9,6.4,5.9
"2017-18","622","Carroll County","0212","Mt. Zion High School","All Students","Composite",1914817,45081,300,37,20.8,21,19.6,18.5
"2017-18","622","Carroll County","0212","Mt. Zion High School","All Students","English",1914817,45077,300,37,20.2,20.4,19.1,17.4
"2017-18","622","Carroll County","0212","Mt. Zion High School","All Students","Mathematics",1914817,45080,300,37,20.5,20.4,18.8,18
"2017-18","622","Carroll County","0212","Mt. Zion High School","All Students","Reading",1914817,45076,300,37,21.3,21.7,20.3,19.1
"2017-18","622","Carroll County","0212","Mt. Zion High School","All Students","Science",1914817,45077,300,37,20.7,21,19.8,19
"2017-18","622","Carroll County","0212","Mt. Zion High School","All Students","Writing Subscore",903603,14029,80,5,6.5,6.9,6.4,
"2017-18","622","Carroll County","2052","Central High School","All Students","Composite",1914817,45081,300,85,20.8,21,19.6,20.5
"2017-18","622","Carroll County","2052","Central High School","All Students","English",1914817,45077,300,85,20.2,20.4,19.1,20.2
"2017-18","622","Carroll County","2052","Central High School","All Students","Mathematics",1914817,45080,300,85,20.5,20.4,18.8,19.5
"2017-18","622","Carroll County","2052","Central High School","All Students","Reading",1914817,45076,300,85,21.3,21.7,20.3,21.3
"2017-18","622","Carroll County","2052","Central High School","All Students","Science",1914817,45077,300,85,20.7,21,19.8,20.2
"2017-18","622","Carroll County","2052","Central High School","All Students","Writing Subscore",903603,14029,80,31,6.5,6.9,6.4,6.6
"2017-18","622","Carroll County","3050","Bowdon High School","All Students","Composite",1914817,45081,300,42,20.8,21,19.6,20
"2017-18","622","Carroll County","3050","Bowdon High School","All Students","English",1914817,45077,300,42,20.2,20.4,19.1,19.3
"2017-18","622","Carroll County","3050","Bowdon High School","All Students","Mathematics",1914817,45080,300,42,20.5,20.4,18.8,18.8
"2017-18","622","Carroll County","3050","Bowdon High School","All Students","Reading",1914817,45076,300,42,21.3,21.7,20.3,20.9
"2017-18","622","Carroll County","3050","Bowdon High School","All Students","Science",1914817,45077,300,42,20.7,21,19.8,20.2
"2017-18","622","Carroll County","3050","Bowdon High School","All Students","Writing Subscore",903603,14029,80,4,6.5,6.9,6.4,
"2017-18","622","Carroll County","5054","Villa Rica High School","All Students","Composite",1914817,45081,300,89,20.8,21,19.6,19.6
"2017-18","622","Carroll County","5054","Villa Rica High School","All Students","English",1914817,45077,300,89,20.2,20.4,19.1,19.3
"2017-18","622","Carroll County","5054","Villa Rica High School","All Students","Mathematics",1914817,45080,300,89,20.5,20.4,18.8,18.8
