LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,NATIONAL_AVG_SCORE_VAL,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2018-19,615,Bryan County,502,Bryan County High School,All Students,Composite,1782820,32389,121,23,20.7,20.4,21.3,18.9
2018-19,615,Bryan County,502,Bryan County High School,All Students,English,1782820,32388,121,23,20.1,19.8,20.8,17.8
2018-19,615,Bryan County,502,Bryan County High School,All Students,Mathematics,1782820,32391,121,23,20.4,19.8,20.3,18
2018-19,615,Bryan County,502,Bryan County High School,All Students,Reading,1782820,32390,121,23,21.2,21.3,22.4,20.6
2018-19,615,Bryan County,502,Bryan County High School,All Students,Science,1782820,32389,121,23,20.6,20.4,21.5,19
2018-19,615,Bryan County,502,Bryan County High School,All Students,Writing Subscore,788161,7605,28,8,6.5,6.7,6.9,
2018-19,616,Bulloch County,203,Southeast Bulloch High School,All Students,Composite,1782820,32389,177,34,20.7,20.4,19.8,21.1
2018-19,616,Bulloch County,203,Southeast Bulloch High School,All Students,English,1782820,32388,177,34,20.1,19.8,18.9,20.9
2018-19,616,Bulloch County,203,Southeast Bulloch High School,All Students,Mathematics,1782820,32391,177,34,20.4,19.8,19,20.2
2018-19,616,Bulloch County,203,Southeast Bulloch High School,All Students,Reading,1782820,32390,177,34,21.2,21.3,20.9,22.2
2018-19,616,Bulloch County,203,Southeast Bulloch High School,All Students,Science,1782820,32389,177,34,20.6,20.4,19.9,20.6
2018-19,616,Bulloch County,203,Southeast Bulloch High School,All Students,Writing Subscore,788161,7605,40,13,6.5,6.7,6.3,5.9
2018-19,616,Bulloch County,2054,Statesboro High School,All Students,Composite,1782820,32389,177,124,20.7,20.4,19.8,19.8
2018-19,616,Bulloch County,2054,Statesboro High School,All Students,English,1782820,32388,177,124,20.1,19.8,18.9,18.8
2018-19,616,Bulloch County,2054,Statesboro High School,All Students,Mathematics,1782820,32391,177,124,20.4,19.8,19,18.9
2018-19,616,Bulloch County,2054,Statesboro High School,All Students,Reading,1782820,32390,177,124,21.2,21.3,20.9,20.8
2018-19,616,Bulloch County,2054,Statesboro High School,All Students,Science,1782820,32389,177,124,20.6,20.4,19.9,20.1
2018-19,616,Bulloch County,2054,Statesboro High School,All Students,Writing Subscore,788161,7605,40,22,6.5,6.7,6.3,6.6
2018-19,616,Bulloch County,4052,Portal Middle/High School,All Students,Composite,1782820,32389,177,19,20.7,20.4,19.8,17.6
2018-19,616,Bulloch County,4052,Portal Middle/High School,All Students,English,1782820,32388,177,19,20.1,19.8,18.9,15.8
2018-19,616,Bulloch County,4052,Portal Middle/High School,All Students,Mathematics,1782820,32391,177,19,20.4,19.8,19,17.5
2018-19,616,Bulloch County,4052,Portal Middle/High School,All Students,Reading,1782820,32390,177,19,21.2,21.3,20.9,19.2
2018-19,616,Bulloch County,4052,Portal Middle/High School,All Students,Science,1782820,32389,177,19,20.6,20.4,19.9,17.2
